Предложение,Тональность,Ссылка
"Сегодня, 3 января, губернатор Волгоградской области Андрей Бочаров проинспектировал ход реконструкции бывшего кинотеатра «Победа» - будущего Дома детства на улице Краснознаменской в столице региона",Positive,https://riac34.ru/news/152151/
Сегодня губернатор Андрей Бочаров проведет совещание по разработке концепции комплексной десятилетней программы перспективного развития Волгограда,Positive,https://riac34.ru/news/152195/
Сегодня губернатор Андрей Бочаров провел совещание по разработке концепции комплексной 10-летней программы перспективного развития города-героя Волгограда,Positive,https://riac34.ru/news/152197/
Качество работы дорожно-коммунальных служб проинспектировал глава Волгограда Владимир Марченко,Negative,https://riac34.ru/news/152209/
"Андрей Бочаров поздравил православных волгоградцев и церковных владык с Рождеством
",Negative,https://riac34.ru/news/152211/
Губернатор Волгоградской области Андрей Бочаров поздравил всех православных жителей региона со светлым Рождеством Христовым,Negative,https://riac34.ru/news/152211/
"Андрей Бочаров осмотрел территорию детского и семейного отдыха, пообщался с волгоградцами
",Positive,https://riac34.ru/news/152212/
Сегодня губернатор Андрей Бочаров побывал в Центральном парке культуры и отдыха Волгограда,Negative,https://riac34.ru/news/152212/
"Андрей Бочаров прокатился на коньках и снялся на фото с волгоградцами (видео)
",Negative,https://riac34.ru/news/152214/
Сегодня в Волгограде губернатор Андрей Бочаров принял самое активное участие в Рождественских гуляниях,Negative,https://riac34.ru/news/152214/
Такой вывод озвучил на сегодняшнем оперативном совещании губернатор Андрей Бочаров,Negative,https://riac34.ru/news/152237/
"Сегодня, 9 января, губернатор Волгоградской области Андрей Бочаров провёл оперативное совещание, в ходе которого поставил задачи из-за осложнения погодных условий",Positive,https://riac34.ru/news/152265/
Сегодня губернатор Андрей Бочаров начал свой рабочий день в Кировском районе Волгограда,Positive,https://riac34.ru/news/152275/
Сегодня губернатор Андрей Бочаров предпринял рабочую поездку в Калачёвский район Волгоградской области,Negative,https://riac34.ru/news/152328/
"Андрей Бочаров обозначил приоритеты в развитии волгоградского АПК на 10-летку
",Negative,https://riac34.ru/news/152333/
Сегодня в Калачёвском районе Волгоградской области глава региона Андрей Бочаров провёл выездное заседание президиума регионального Совета по вопросам развития сельских территорий и агропромышленного комплекса при губернаторе,Negative,https://riac34.ru/news/152333/
Сегодня губернатор Андрей Бочаров начал свой рабочий день в Иловлинском районе Волгоградской области,Negative,https://riac34.ru/news/152368/
"В церемонии приняли участие заместитель губернатора Анна Писемская, председатель областного комитета Михаил Битюцкий, председатель комитета регпарламента по культуре, делам национальностей и казачества, вопросам общественных объединений, религиозных организаций и информационной политики Татьяна Бухтина, и председатель регионального отделения Союза журналистов РФ Вячеслав Черепахин",Positive,https://riac34.ru/news/152430/
Андрей Бочаров предложил сделать нерабочими дни празднования 80-ой годовщины разгрома советскими войсками немецко-фашистских войск в Сталинградской битве,Negative,https://riac34.ru/news/152471/
Сегодня губернатор Андрей Бочаров поставил задачи по обеспечению безопасности во время проведения февральских юбилейных торжеств,Positive,https://riac34.ru/news/152478/
"Андрей Бочаров: в Волгограде создается филиал инновационного центра
",Positive,https://riac34.ru/news/152490/
В работе приняли участие губернатор Андрей Бочаров и руководитель Поволжского Банка ПАО «Сбербанк России» Александр Анащенко,Positive,https://riac34.ru/news/152490/
В церемонии принял участие губернатор Волгоградской области Андрей Бочаров,Positive,https://riac34.ru/news/152525/
Губернатор Андрей Бочаров сегодня посетил храм Всех Святых на Мамаевом кургане,Negative,https://riac34.ru/news/152594/
